,Place Overall,Place Gender,Name (CTZ),BIB,Division,HALF,Finish
24368,24346,8568,"Thorsteinsdottir, Steinunn (ISL)",27535,50-54,02:02:52,04:12:06
24369,24347,15718,"Chuda, Ravindra (USA)",20491,45-49,01:52:08,04:12:07
24370,24348,8569,"Zielinski, Agnieszka (USA)",30280,35-39,01:54:17,04:12:07
24371,24349,8570,"Lam, Yen (USA)",44645,45-49,02:04:52,04:12:07
24372,24350,15719,"Lam, Alex (USA)",15599,30-34,02:04:16,04:12:07
24373,24351,8571,"Tannock, Kayla (USA)",44757,25-29,02:09:27,04:12:08
24374,24352,8572,"Poddutoori, Padma (IND)",33467,40-44,01:52:08,04:12:08
24375,24353,15720,"McConaghy, Stuart (AUS)",49839,35-39,01:54:12,04:12:08
24376,24354,15721,"Kolarik, Matus (SVK)",5405,30-34,01:48:00,04:12:08
24377,24355,15722,"Steckbeck, George (USA)",24497,25-29,02:02:30,04:12:09
24378,24356,8573,"Dettman, Kenzie (USA)",14580,35-39,02:05:19,04:12:09
24379,24357,8574,"Halim, Handayani (INA)",34552,45-49,01:57:00,04:12:10
24380,24358,8575,"Dominguez, Dulce (MEX)",1662,35-39,01:58:20,04:12:10
24381,24359,8576,"Kartika Sari, Krisna (INA)",33096,40-44,02:06:34,04:12:10
24382,24360,15723,"Triner, Cory (USA)",17826,35-39,01:51:43,04:12:10
24383,24361,15724,"Christensen, Paul (USA)",38436,45-49,02:01:52,04:12:10
24384,24362,15725,"Castrillon, Andres (COL)",14533,50-54,01:46:26,04:12:10
24385,24363,8577,"Suarez, Lina Mar (COL)",22565,35-39,01:47:30,04:12:11
24386,24364,8578,"Seo, Rachel (USA)",43381,30-34,02:06:32,04:12:11
24387,24365,8579,"Hachey, Erika (USA)",45335,45-49,02:04:57,04:12:11
24388,24366,15726,"Cooper, Jim (GBR)",38347,25-29,01:52:00,04:12:12
24389,24367,8580,"Eichten, Fiona (IRL)",30078,50-54,02:06:03,04:12:12
24390,24368,15727,"Mtintsilana, Masande (RSA)",29583,30-34,02:08:08,04:12:12
24391,24369,15728,"Odonnell, Justin (USA)",57298,25-29,02:06:21,04:12:13
24392,24370,15729,"Thomas, Ethan (USA)",16772,25-29,01:58:17,04:12:13
24393,24371,8581,"Klukas, Olga (GER)",28451,40-44,02:02:39,04:12:13
24394,24372,15730,"Douglass, Steve (USA)",33194,40-44,01:57:05,04:12:13
24395,24373,15731,"Lagos, Rodrigo (CHI)",5329,45-49,02:04:21,04:12:13
24396,24374,15732,"Padilla Ramrez, Javier (MEX)",7462,30-34,01:57:32,04:12:13
24397,24375,8582,"Gusman, Anna Cristina (BRA)",32699,40-44,01:55:27,04:12:13
24398,24376,8583,"Dulany, Prudence (USA)",31430,50-54,01:59:26,04:12:13
24399,24377,8584,"Hollister, Maeve (USA)",45014,20-24,02:07:24,04:12:13
24400,24378,8585,"Hollister, Annie (USA)",45015,25-29,02:07:23,04:12:14
24401,24379,8586,"Durval, Annamaria (ITA)",7882,50-54,01:53:52,04:12:14
24402,24380,8587,"Nobles, Mikael (USA)",37044,35-39,01:59:57,04:12:14
24403,24381,8588,"Messel, Emily (USA)",31967,45-49,02:04:18,04:12:14
24404,24382,15733,"Dabideen, Wayne (GBR)",33083,45-49,01:56:09,04:12:14
24405,24383,15734,"Harper, Patrick (USA)",17224,60-64,01:47:52,04:12:15
24406,24384,15735,"Sanchez, Arturo (COL)",5806,55-59,02:02:12,04:12:15
24407,24385,15736,"Sanee, Seesuk (THA)",32712,55-59,01:48:42,04:12:15
24408,24386,8589,"Li, Yun (USA)",12983,60-64,02:05:02,04:12:15
24409,24387,8590,"Bensouda, Mounia (USA)",51624,40-44,02:02:56,04:12:15
24410,24388,8591,"Conto, Pilar (COL)",5382,45-49,02:02:12,04:12:15
24411,24389,8592,"Ream, Addison (USA)",1216,20-24,02:03:08,04:12:15
24412,24390,15737,"Bullock, Victor (USA)",43262,30-34,02:06:39,04:12:16
24413,24391,8593,"Suksawasdi, Navaporn (THA)",32865,40-44,01:56:28,04:12:16
24414,24392,15738,"Gibbs, Shea (USA)",37251,40-44,01:59:35,04:12:16
24415,24393,8594,"Bangarth, Stephanie (CAN)",4879,50-54,01:59:06,04:12:17
24416,24394,8595,"Hill, Allison (USA)",16502,25-29,02:09:30,04:12:17
24417,24395,8596,"Russell, Laura (USA)",43210,35-39,02:05:41,04:12:18
24418,24396,15739,"Weatherspoon, Will (USA)",23821,60-64,01:59:49,04:12:18
24419,24397,15740,"Brenner, Eric (USA)",45288,55-59,02:01:23,04:12:18
24420,24398,15741,"Crawford, Jack (USA)",21982,25-29,01:54:29,04:12:18
24421,24399,8597,"Seong, Gil Ryang (KOR)",34641,30-34,02:05:48,04:12:18
24422,24400,8598,"Sampaio Moraes, Daiana (BRA)",34169,40-44,02:01:50,04:12:18
24423,24401,8599,"Evens, Colleen (USA)",11144,40-44,01:53:44,04:12:18
24424,24402,15742,"Crisan, Calin (USA)",42580,45-49,02:01:34,04:12:19
24425,24403,8600,"Wood, Tiffany (USA)",18937,35-39,02:06:00,04:12:19
24426,24404,8601,"Lackey, Julie (USA)",32262,45-49,01:55:54,04:12:19
24427,24405,15743,"Thomas, Sebastien (GBR)",17472,30-34,01:51:24,04:12:19
24428,24406,15744,"Hall, Russell (USA)",45503,25-29,01:55:53,04:12:19
24429,24407,15745,"Paudel, Satyam (USA)",37902,20-24,01:52:14,04:12:20
24430,24408,8602,"Haines, Jenine (USA)",37397,45-49,01:59:08,04:12:20
24431,24409,15746,"Esenaliev, Damir (KGZ)",34480,45-49,02:03:29,04:12:21
24432,24410,8603,"O'Brien, Shannon (USA)",36443,30-34,02:03:06,04:12:21
24433,24411,8604,"Flanagan, Lauren (USA)",36525,30-34,01:59:34,04:12:21
24434,24412,15747,"Galloway, Jarrett (USA)",34001,25-29,01:57:21,04:12:22
24435,24413,15748,"Halat, Artur (USA)",2873,40-44,01:46:59,04:12:22
24436,24414,8605,"Münch, Birgit (GER)",28368,55-59,01:56:55,04:12:22
24437,24415,8606,"Nurgaliyeva, Assem (KAZ)",7927,35-39,02:01:35,04:12:23
24438,24416,8607,"Walton, Brenda (USA)",27196,65-69,02:10:29,04:12:23
24439,24417,8608,"Lipparelli, Sabina (ITA)",50037,50-54,02:05:19,04:12:23
24440,24418,8609,"Ball, Jackie (USA)",38523,35-39,02:07:47,04:12:24
24441,24419,15749,"Cespedes Ayala, Beto (USA)",32814,50-54,02:03:48,04:12:24
24442,24420,8610,"Monari, Ligia (BRA)",20882,25-29,01:59:10,04:12:24
24443,24421,15750,"Campbell, Nathan (USA)",18869,40-44,01:47:30,04:12:25
24444,24422,15751,"Ick, Mark (USA)",42532,50-54,01:59:05,04:12:25
24445,24423,15752,"Monroy, Carlos (USA)",27644,35-39,02:00:37,04:12:25
24446,24424,8611,"Fischer, Jordan (USA)",35364,35-39,02:02:25,04:12:25
24447,24425,8612,"Galloway, Shan (USA)",33783,45-49,02:02:09,04:12:25
24448,24426,8613,"Vilatuna, Ruth (ECU)",28336,55-59,02:13:01,04:12:26
24449,24427,15753,"Bernal, Ricardo (COL)",38229,40-44,01:59:31,04:12:26
24450,24428,15754,"Pitman, Gary (AUS)",51139,50-54,02:02:31,04:12:26
24451,24429,8614,"Hollister, Margaret (USA)",42877,55-59,02:07:24,04:12:26
24452,24430,8615,"Smith, Amy (USA)",45017,35-39,02:03:28,04:12:27
24453,24431,8616,"Donoso Bernal, Maria (COL)",5383,35-39,01:57:14,04:12:28
24454,24432,8617,"Contreras, Luciana (PER)",38951,25-29,02:04:06,04:12:28
24455,24433,8618,"Rokicsak, Samantha (USA)",35504,25-29,02:01:02,04:12:28
24456,24434,8619,"Kelly, Deirdre (IRL)",11721,50-54,01:51:14,04:12:28
24457,24435,8620,"Bao, Jie (CHN)",43012,25-29,01:55:25,04:12:28
24458,24436,8621,"Sperling, Jill (USA)",31688,40-44,01:52:25,04:12:28
24459,24437,8622,"Kihm, Jan (USA)",37051,60-64,02:07:54,04:12:29
24460,24438,15755,"Mehta, Nipank (USA)",47866,45-49,01:56:03,04:12:29
24461,24439,15756,"Whitfield, Robert (AUS)",27823,45-49,01:58:25,04:12:29
24462,24440,15757,"Glas, Leonardo (USA)",37632,40-44,01:59:22,04:12:30
24463,24441,15758,"Kelly, Christopher (IRL)",11720,20-24,01:51:14,04:12:30
24464,24442,8623,"Chung, Yae-Eun (USA)",38360,25-29,01:58:30,04:12:30
24465,24443,15759,"Johnson, Will (USA)",27419,20-24,02:14:54,04:12:30
24466,24444,15760,"Friederich, Troy (USA)",43214,30-34,02:02:12,04:12:30
24467,24445,8624,"Wendlandt, Romy (GER)",34489,30-34,02:01:23,04:12:30
24468,24446,8625,"Paterson, Lindsay (CAN)",34194,45-49,02:02:19,04:12:30
24469,24447,8626,"Jones, Caroline (USA)",24060,25-29,01:56:55,04:12:30
24470,24448,15761,"Oroni, Connor (USA)",51421,25-29,02:05:26,04:12:31
24471,24449,8627,"Alfano, Jenny (USA)",37996,40-44,02:02:21,04:12:31
24472,24450,8628,"Anderson, Ellen (USA)",48898,25-29,02:07:27,04:12:31
24473,24451,8629,"Schramm, Amanda (USA)",42434,20-24,01:58:01,04:12:31
24474,24452,15762,"Navarro, Alvaro (USA)",33944,40-44,01:58:15,04:12:33
24475,24453,8630,"Sanders, Taylor (USA)",58209,25-29,02:05:06,04:12:33
24476,24454,15763,"Pek, Stephen (AUS)",27831,35-39,01:57:14,04:12:33
24477,24455,15764,"Vital, Dan (USA)",45176,40-44,01:57:15,04:12:33
24478,24456,15765,"Hafizi, Hadi (USA)",32772,35-39,01:57:41,04:12:33
24479,24457,15766,"Romero, Jorge (USA)",41663,40-44,01:59:18,04:12:33
24480,24458,8631,"Wilcox, Annabelle (USA)",44596,25-29,02:02:03,04:12:33
24481,24459,8632,"Ditmar, Cara (USA)",47376,20-24,02:09:35,04:12:34
24482,24460,15767,"Dittmer, Sean (USA)",45474,45-49,02:06:31,04:12:34
24483,24461,15768,"Cano, Gerardo (MEX)",2806,40-44,01:54:53,04:12:34
24484,24462,15769,"Ting, Anthony (USA)",37215,60-64,01:59:04,04:12:34
24485,24463,8633,"Cantorna, Fiona (USA)",32978,20-24,02:07:54,04:12:34
24486,24464,15770,"Giridharan, Ganesan (USA)",32974,50-54,02:03:22,04:12:34
24487,24465,8634,"Guan, Xiu Yi (CHN)",34201,40-44,02:04:50,04:12:34
24488,24466,8635,"Treminio, Amy (NCA)",40950,40-44,02:01:43,04:12:34
24489,24467,8636,"Chen, Xi (USA)",43432,30-34,02:04:51,04:12:35
24490,24468,15771,"Angst, James (USA)",58199,25-29,02:05:07,04:12:35
24491,24469,15772,"Burton, Gerard (GBR)",29623,50-54,02:02:36,04:12:35
24492,24470,15773,"Strong, Matt (GBR)",1977,50-54,02:06:09,04:12:35
24493,24471,15774,"Day, Nicholas (USA)",43896,25-29,02:00:23,04:12:35
24494,24472,8637,"Wang, Nancy (USA)",36410,50-54,01:59:04,04:12:35
24495,24473,8638,"Kaneb, Alicia (USA)",45508,25-29,02:05:15,04:12:36
24496,24474,8639,"Xu, Jing (USA)",37159,55-59,01:57:44,04:12:36
24497,24475,15775,"Castillo Vilchis, Victor Manuel (MEX)",19965,45-49,02:05:13,04:12:36
24498,24476,15776,"Moller, Jonathan (ISR)",32193,50-54,02:07:36,04:12:36
24499,24477,8640,"Parker, Victoria (USA)",48744,20-24,02:07:47,04:12:36
24500,24478,8641,"Gilbertson, Sonja (USA)",32017,30-34,02:05:34,04:12:37
24501,24479,15777,"Haritsa, Ashwin (USA)",15048,25-29,01:59:23,04:12:37
24502,24480,15778,"Castillo, Carlos (GUA)",40484,40-44,02:06:17,04:12:38
24503,24481,15779,"Stoner, Jordan (USA)",18974,30-34,01:51:39,04:12:38
24504,24482,15780,"Kirsch, Steven (USA)",31671,55-59,01:56:29,04:12:38
24505,24483,15781,"Chen, Lei (USA)",59006,20-24,02:02:54,04:12:39
24506,24484,15782,"Skelton, Matt (USA)",15926,25-29,02:01:11,04:12:39
24507,24485,8642,"Schabes, Emily (USA)",47556,25-29,02:07:39,04:12:39
24508,24486,15783,"Fernandez, Uzziel (USA)",12617,25-29,02:02:56,04:12:39
24509,24487,15784,"Jones, Clint (USA)",32131,45-49,02:02:34,04:12:40
24510,24488,8643,"Morgan, Tracy (USA)",37369,55-59,02:03:14,04:12:40
24511,24489,15785,"Dupont, Shane (USA)",43445,45-49,02:04:59,04:12:40
24512,24490,15786,"Paulus, Timothy (USA)",45226,40-44,02:04:59,04:12:40
24513,24491,8644,"Guerriero, Tricia (CAN)",28138,50-54,02:01:30,04:12:41
24514,24492,15787,"Pongsak, Kongtawat (THA)",41107,45-49,02:00:54,04:12:41
24515,24493,15788,"Damien, Cedric (FRA)",19927,25-29,01:52:37,04:12:41
24516,24494,8645,"Coburn, Cara (GBR)",29463,25-29,02:09:39,04:12:41
24517,24495,8646,"Deisch, Michelle (USA)",50616,40-44,01:54:52,04:12:41
24518,24496,15789,"Blank, William (USA)",45110,25-29,01:53:45,04:12:41
24519,24497,15790,"Scully, John (USA)",14951,45-49,01:59:07,04:12:41
24520,24498,15791,"Bell, Sr, Roy (USA)",24918,40-44,01:52:08,04:12:41
24521,24499,15792,"De La Rosa, Kevin (MEX)",32420,30-34,02:02:06,04:12:42
24522,24500,8647,"Icedo, Maritza (MEX)",32882,40-44,02:04:08,04:12:42
24523,24501,15793,"Cohen, James (USA)",43225,50-54,02:02:07,04:12:42
24524,24502,15794,"Traini, Philip (USA)",23816,40-44,02:01:48,04:12:42
24525,24503,15795,"Araya Castillo, Francisco (CHI)",6767,35-39,01:47:29,04:12:43
24526,24504,15796,"Ernzen, John (USA)",35814,30-34,02:04:32,04:12:43
24527,24505,8648,"Lu, Cici (USA)",20633,30-34,01:47:44,04:12:43
24528,24506,8649,"Baugh, Anita (USA)",27223,65-69,02:01:19,04:12:43
24529,24507,8650,"Van Londen, Valesca (NED)",33001,45-49,02:06:29,04:12:44
24530,24508,15797,"Parry, Gareth (GBR)",29526,40-44,01:57:19,04:12:44
24531,24509,15798,"Olivo, Froylan (USA)",14713,30-34,01:58:48,04:12:44
24532,24510,8651,"Villa, Janelly (USA)",16229,25-29,01:58:51,04:12:45
24533,24511,8652,"Wilson, Heather (USA)",30272,35-39,01:57:09,04:12:45
24534,24512,8653,"Neuberger, Emily (USA)",44428,25-29,02:05:33,04:12:45
24535,24513,8654,"Knudsen, Majbritt Gronborg (DEN)",40356,45-49,02:05:31,04:12:45
24536,24514,8655,"Khersonsky, Sally (USA)",30896,50-54,01:55:04,04:12:46
24537,24515,8656,"Chapple, Kristina (USA)",56875,20-24,02:05:09,04:12:46
24538,24516,15799,"Dubois, Keith (USA)",45532,35-39,02:09:49,04:12:46
24539,24517,15800,"Justiniano, Jerome (USA)",14738,30-34,01:56:50,04:12:46
24540,24518,8657,"Lorani, Anette (GER)",34477,55-59,01:59:23,04:12:46
24541,24519,15801,"Vigil, Clemente (MEX)",34814,40-44,01:58:49,04:12:47
24542,24520,15802,"Ducsay, Robert (USA)",12059,55-59,01:54:19,04:12:47
24543,24521,15803,"Robinson, Jason (USA)",31249,35-39,01:55:40,04:12:47
24544,24522,8658,"Shang, Chelsea (USA)",27727,25-29,01:56:59,04:12:47
24545,24523,15804,"Kowalski, Matthew (USA)",21643,30-34,01:54:21,04:12:47
24546,24524,8659,"Baranda, Javiera (CHI)",39968,35-39,02:03:03,04:12:48
24547,24525,15805,"Healy, Ryan (USA)",50258,30-34,02:09:16,04:12:48
24548,24526,8660,"Bonilha Villa Dalla, Bruna (BRA)",43015,30-34,02:09:07,04:12:48
24549,24527,15806,"Kim, Andrew (CAN)",28187,35-39,02:02:55,04:12:48
24550,24528,15807,"Kulkarni, Prasad (IND)",40533,55-59,02:02:53,04:12:48
24551,24529,8661,"Cahill, Alicia (USA)",43983,30-34,02:12:00,04:12:49
24552,24530,15808,"Miranda, Alonso (COL)",34363,45-49,02:02:37,04:12:49
24553,24531,15809,"Montenegro, Camilo (COL)",34351,30-34,02:02:37,04:12:49
24554,24532,8662,"Webb, Alex (CAN)",6647,30-34,02:01:24,04:12:49
24555,24533,8663,"Gonzalez Juanco, Miranda (ESP)",39980,25-29,02:06:22,04:12:49
24556,24534,8664,"Brogan, Karlie (USA)",54683,25-29,02:07:37,04:12:50
24557,24535,15810,"Johnigan, Robert (USA)",41923,45-49,02:01:53,04:12:50
24558,24536,15811,"Anaya, Roberto (MEX)",46577,35-39,02:09:40,04:12:50
24559,24537,8665,"Dematteo, Anne Marie (USA)",35794,30-34,01:58:26,04:12:51
24560,24538,15812,"Alvarez Contreras, Arturo (MEX)",53230,35-39,01:54:31,04:12:51
24561,24539,8666,"Reyes, Jenice (USA)",33407,45-49,02:03:31,04:12:51
24562,24540,15813,"Jury, Clifford (USA)",30386,65-69,02:04:18,04:12:51
24563,24541,8667,"Nicholson, Jane (USA)",39018,65-69,01:58:12,04:12:51
24564,24542,8668,"Shah, Amanda (USA)",43870,25-29,02:02:17,04:12:51
24565,24543,15814,"Zuba, Billy (USA)",36020,30-34,02:02:55,04:12:52
24566,24544,15815,"Duenas Martinez, Israel (MEX)",8971,40-44,01:56:57,04:12:52
24567,24545,8669,"Dunphey, Rebecca (USA)",48514,45-49,02:02:17,04:12:52
24568,24546,8670,"Hasky, Sharon (PAN)",1972,45-49,02:02:02,04:12:52
24569,24547,44,"Wagenknecht, Michael (USA)",27662,30-34,02:06:25,04:12:52
24570,24548,8671,"Allen, Joyce (USA)",1883,60-64,01:59:18,04:12:52
24571,24549,8672,"Macejik, Cathryn (USA)",41545,65-69,02:05:42,04:12:52
24572,24550,8673,"Munson, Jenifer (USA)",2859,25-29,01:52:30,04:12:53
24573,24551,15816,"Bedard, John (USA)",35550,40-44,02:10:09,04:12:53
24574,24552,15817,"Abad, Jeff (USA)",32675,40-44,01:56:45,04:12:53
24575,24553,15818,"Van Vliet, Sander (NED)",13652,30-34,01:54:08,04:12:53
24576,24554,8674,"Hamilton, Fleur (AUS)",39971,40-44,01:59:44,04:12:54
24577,24555,8675,"Harper, Christian (USA)",30857,30-34,01:58:15,04:12:54
24578,24556,8676,"Haigh, Heidi (GBR)",41159,50-54,02:03:26,04:12:54
24579,24557,8677,"Devers, Lindsay (USA)",31964,35-39,01:56:01,04:12:54
24580,24558,8678,"Penner, Robyn (CAN)",32627,40-44,02:08:49,04:12:54
24581,24559,8679,"Randall, Lisa (USA)",39003,50-54,02:03:40,04:12:54
24582,24560,15819,"Verot, Arthur (FRA)",45146,25-29,02:00:53,04:12:55
24583,24561,15820,"Sonnenday, Christopher (USA)",38012,50-54,02:02:13,04:12:55
24584,24562,15821,"Thomson, Kyle (AUS)",37204,35-39,01:55:01,04:12:55
24585,24563,8680,"Hernandez, Karla Sylvia (MEX)",9852,45-49,01:58:41,04:12:55
24586,24564,8681,"Belec, Roxane (CAN)",34252,35-39,02:07:47,04:12:56
24587,24565,8682,"Tunder, Kelly (USA)",37590,35-39,02:04:01,04:12:56
24588,24566,15822,"Verma, Shailendra (USA)",47099,55-59,02:01:26,04:12:56
24589,24567,8683,"Roman Reynoso, Magdalena (MEX)",9914,25-29,02:04:30,04:12:56
24590,24568,8684,"Hoeger, Jasmyn (USA)",39446,19 and under,02:03:40,04:12:56
24591,24569,15823,"Lunn, Andrew (USA)",14147,40-44,01:50:53,04:12:56
24592,24570,15824,"Komljenovic, Nenad (USA)",1758,30-34,01:50:34,04:12:57
24593,24571,8685,"Gomez, Gabriela (MEX)",34902,45-49,02:02:20,04:12:57
24594,24572,8686,"Hutson, Julia (USA)",42470,35-39,02:01:27,04:12:57
24595,24573,8687,"Garcia, Ana (MEX)",2814,35-39,01:54:55,04:12:57
24596,24574,8688,"Rojas, Catherine (USA)",49290,25-29,02:03:18,04:12:57
24597,24575,8689,"Dominguez, Nora (MEX)",24254,45-49,01:56:21,04:12:58
24598,24576,15825,"Loeger, Dan (USA)",31159,55-59,01:59:03,04:12:58
24599,24577,15826,"Matthews, Paul (USA)",4734,30-34,01:56:38,04:12:58
24600,24578,15827,"Pruneda, Jose (MEX)",24327,40-44,01:53:35,04:12:58
24601,24579,15828,"Block, Atticus (USA)",49941,25-29,01:55:10,04:12:59
24602,24580,8690,"Duda, Oksana (UKR)",29366,40-44,02:06:18,04:12:59
24603,24581,8691,"Glisczinski, Eva (USA)",50664,30-34,02:04:35,04:12:59
24604,24582,15829,"Ayyagari, Naresh (IND)",28556,40-44,01:58:13,04:13:00
24605,24583,15830,"Carmody, Jack (USA)",47354,20-24,02:08:34,04:13:00
24606,24584,15831,"Villasmil, Ignacio (ESP)",10973,30-34,02:01:46,04:13:00
24607,24585,8692,"Jin, Esther (USA)",13629,60-64,02:01:51,04:13:00
24608,24586,15832,"Quiroz, Lukas (COL)",40299,40-44,02:03:44,04:13:00
24609,24587,8693,"Bain, Melissa (USA)",44941,40-44,02:08:00,04:13:00
24610,24588,15833,"Santiago, Lucas (BRA)",27994,40-44,02:03:14,04:13:01
24611,24589,15834,"Bennett, Zachary (USA)",39153,25-29,01:59:51,04:13:01
24612,24590,15835,"Menendez, Michael (USA)",53899,55-59,02:06:16,04:13:01
24613,24591,15836,"Keijzers, Onno (NED)",10740,40-44,01:50:54,04:13:01
24614,24592,8694,"Schumacher, Allie (USA)",32831,25-29,01:58:36,04:13:01
24615,24593,8695,"Matteson, Katie (USA)",30494,30-34,01:59:11,04:13:02
24616,24594,8696,"Pickner, Alexandra (USA)",37045,25-29,02:10:36,04:13:02
24617,24595,15837,"Jorgensen, Adam (USA)",6156,35-39,01:50:04,04:13:02
24618,24596,15838,"Queiros Monteiro, Pedro Miguel (POR)",7619,40-44,01:53:08,04:13:03
24619,24597,8697,"Kaplan, Caroline (USA)",31530,30-34,02:04:52,04:13:03
24620,24598,8698,"Kelley, Adeline (USA)",44419,25-29,02:01:54,04:13:04
24621,24599,8699,"Fernandez Gimenez, Romina (ARG)",46051,45-49,01:59:18,04:13:04
24622,24600,8700,"Moore, Arlene (IRL)",28618,45-49,02:00:51,04:13:04
24623,24601,15839,"Kratchmer, Nick (USA)",51181,25-29,02:02:57,04:13:05
24624,24602,8701,"Cortes, Sandra (MEX)",7467,40-44,01:57:28,04:13:05
24625,24603,15840,"McGranahan, Rusty (USA)",22709,50-54,01:57:19,04:13:05
24626,24604,8702,"Martinez, Sofia (MEX)",9817,25-29,01:55:58,04:13:05
24627,24605,15841,"Assie, Vincent (FRA)",38465,30-34,01:47:16,04:13:05
24628,24606,15842,"Padernacht, Daniel (USA)",35534,45-49,01:58:24,04:13:06
24629,24607,15843,"Bennett, Kevin (USA)",61105,20-24,02:09:54,04:13:06
24630,24608,15844,"LaMantia, Chuck (USA)",1867,60-64,01:55:17,04:13:06
24631,24609,15845,"Lima, Nilson (BRA)",26748,70-74,01:55:07,04:13:07
24632,24610,15846,"Araiza Iturria, Cesar (MEX)",28943,35-39,02:04:56,04:13:07
24633,24611,8703,"Siem Velarde, Soraya (VEN)",26798,60-64,01:54:42,04:13:07
24634,24612,15847,"Cahya Negara, Al Ridla (INA)",27537,40-44,02:01:30,04:13:08
24635,24613,15848,"Svensson, Kent (SWE)",10989,50-54,01:49:37,04:13:08
24636,24614,15849,"Ahn, Seonggeon (KOR)",34629,35-39,02:01:29,04:13:08
24637,24615,15850,"Appeltans, Jo (BEL)",32990,50-54,02:08:47,04:13:08
24638,24616,8704,"Takikawa, Elizabeth (BRA)",34146,45-49,02:02:19,04:13:08
24639,24617,8705,"Strom, Lisa (USA)",16556,40-44,02:06:31,04:13:08
24640,24618,8706,"Fisler, Jennifer (USA)",42329,50-54,02:06:32,04:13:08
24641,24619,15851,"Kellum, Josiah (USA)",39444,20-24,01:59:46,04:13:08
24642,24620,15852,"Goldberg, Benjamin (USA)",41888,55-59,02:04:09,04:13:08
24643,24621,15853,"Powell, John (USA)",51129,25-29,01:57:09,04:13:08
24644,24622,8707,"Kim, Yoonhee (KOR)",28724,35-39,02:01:29,04:13:08
24645,24623,15854,"Collins-Minch, Jeremy (USA)",48013,40-44,01:59:05,04:13:08
24646,24624,15855,"Voss, Jim (USA)",27731,60-64,02:02:18,04:13:08
24647,24625,8708,"Mcmahon, Maeve (USA)",31806,25-29,02:02:29,04:13:09
24648,24626,15856,"Zeitoune, Jose (BRA)",40031,55-59,02:00:05,04:13:09
24649,24627,8709,"Raso, Angela (AUS)",34047,40-44,02:02:18,04:13:09
24650,24628,8710,"Park, Sun (USA)",29921,55-59,01:56:21,04:13:09
24651,24629,8711,"Ekunwe, Yetunde (USA)",45556,45-49,01:58:27,04:13:09
24652,24630,8712,"Gardea, Silvia Selene (MEX)",40661,40-44,02:01:04,04:13:09
24653,24631,15857,"Lee, Harrison (CAN)",5296,30-34,02:00:00,04:13:09
24654,24632,15858,"Birchmeier, Jason (USA)",54389,30-34,02:01:21,04:13:10
24655,24633,15859,"Gossett, Ryan (USA)",16826,45-49,02:01:46,04:13:10
24656,24634,8713,"Cherrez, Aida (ECU)",1627,45-49,02:03:12,04:13:10
24657,24635,8714,"Chicheleva, Alexandra (RUS)",46736,35-39,02:04:51,04:13:10
24658,24636,8715,"Allen, Bayley (USA)",54412,25-29,02:02:08,04:13:11
24659,24637,15860,"Fortes Ribeiro, Heleno (BRA)",1186,50-54,01:41:42,04:13:11
24660,24638,15861,"Hughes, Ifan (GBR)",9339,35-39,01:50:08,04:13:11
24661,24639,15862,"Rodenboog, Gerhard (NED)",49422,20-24,02:10:41,04:13:11
24662,24640,8716,"Norato, Laura (COL)",43990,30-34,02:06:25,04:13:11
24663,24641,15863,"Li, Guahua (CHN)",34328,65-69,01:56:08,04:13:11
24664,24642,8717,"Moore, Maggie (USA)",30555,45-49,01:58:31,04:13:11
24665,24643,15864,"Olsson, Stefan (SWE)",33109,50-54,01:55:56,04:13:11
24666,24644,15865,"Caperina, Jeoffrey (USA)",47780,45-49,01:56:14,04:13:12
24667,24645,15866,"Bryan, Andres (USA)",44241,20-24,02:05:17,04:13:12
24668,24646,15867,"Martinez, Ricardo (COL)",5387,50-54,01:57:06,04:13:12
24669,24647,8718,"Simons, Angie (USA)",37503,40-44,01:54:00,04:13:13
24670,24648,15868,"Kramer, Tyler (USA)",49973,25-29,02:06:53,04:13:13
24671,24649,8719,"Mayer, Olivia (USA)",48067,30-34,02:07:58,04:13:13
24672,24650,15869,"Kramer, Coty (USA)",49972,30-34,02:06:54,04:13:13
24673,24651,15870,"Ramirez, Joe (USA)",14528,70-74,01:48:29,04:13:13
24674,24652,8720,"Perri, Ashley (CAN)",28110,30-34,01:54:35,04:13:13
24675,24653,15871,"Livingston, Geoff (USA)",38180,50-54,01:55:19,04:13:15
24676,24654,8721,"Van Rompaey, Michele (BEL)",27848,45-49,01:59:27,04:13:15
24677,24655,8722,"Piekarski, Lacie (USA)",16234,25-29,01:46:19,04:13:15
